no,entidad_federativa,anio,evento,tipo_fenomeno,instancia_corroboradora,documento_corroboracion,nombre_municipios_corroborados,numero_municipios_corroborados,instalacion_ced,sectores_afectados,fecha_publicacion_dof,publicacion_dof,entrega_resultados_ced,limite_para_entregar_diagnostico,oficio_entrega,observaciones,ultima_fecha_actualizacion
41,Oaxaca,2020,"Lluvia severa, inundación pluvial e inundación fluvial del 27 al 28 de agosto de 2020",Hidrometeorológico,CONAGUA,B00.8.-343,"Candelaria Loxicha, Coicoyán de las Flores, Huautla de Jiménez, Loma Bonita, San Agustín Loxicha, San Andrés Cabecera Nueva, San Andrés Huaxpaltepec, San Andrés Teotilálpam, San Antonio Tepetlapa, San Francisco del Mar, San Francisco Ozolotepec, San Gabriel Mixtepec, San Jerónimo Coatlán, San Juan Bautista Valle Nacional, San Juan Comaltepec, San Juan Lachao, San Juan Ozolotepec, San Juan Quiahije, San Miguel Coatlán, San Miguel Suchixtepec, San Pedro Amuzgos, San Pedro Juchatengo, San Sebastián Coatlán, San Sebastián Tecomaxtlahuaca, Santa Cruz Zenzontepec, Santa María Temaxcaltepec, Santa María Yucuhiti, Santiago Juxtlahuaca, Santiago Niltepec, Santiago Pinotepa Nacional, Santos Reyes Nopala y Villa de Tututepec",32,04/09/2020,"Carretero, Educativo, Hidráulico, Vial Urbano y Vivienda",18515,https://www.dof.gob.mx/nota_detalle.php?codigo=5600087&fecha=10/09/2020,18537,18548,SSPC/SPPPCCP/CNPC/DGGR/03619/2020; SSPC/SPPPCCP/CNPC/DGGR/03699/2020; SSPC/SPPPCCP/DGGR/00644/2021; SSPC/SPPPCCP/CNPC/DGGR/03699/2020,sin dato,2021
42,Colima,2020,Lluvia severa e inundación fluvial e inundación pluvial del 26 al 28 de agosto de 2020,Hidrometeorológico,CONAGUA,B00.8.-346,"Armería, Tecomán y Manzanillo",3,07/09/2020,"Carretero, Educativo, Hidráulico, Naval, Vial Urbano, Vivienda y Zonas Costeras",18516,https://www.dof.gob.mx/nota_detalle.php?codigo=5600247&fecha=11/09/2020,18540,18549,SSPC/SPPPCCP/CNPC/DGGR/03620/2020; SSPC/SPPPCCP/CNPC/DGGR/03697/2020; SSPC/SPPPCCP/CNPC/DGGR/03669/2020; SSPC/SPPPCCP/CNPC/DGGR/03817/2020,sin dato,2021
43,Oaxaca,2020,Movimiento de ladera del 5 al 7 de septiembre de 2020,Geológico,CENAPRED,E00-DG/0861/2020,"San Agustín Loxicha, San Ildefonso Villa Alta y San Mateo Cajonos.",3,14/09/2020,"Carretero, Vial Urbano y Vivienda",18526,https://www.dof.gob.mx/nota_detalle.php?codigo=5600845&fecha=21/09/2020,18547,18556,SSPC/SPPCCP/CNPC/DGGR/03763/2020,sin dato,2021
44,Oaxaca,2020,"Lluvia severa, inundación fluvial y pluvial del 5 al 7 de septiembre de 2020",Hidrometeorológico,CONAGUA,B00.8.-353,"Santa María Jacatepec, San José Chiltepec, San Felipe Jalapa de Díaz, San Andrés Huaxpaltepec y San Lucas Ojitlán",5,17/09/2020,"Carretero, Educativo, Hidráulico, Vial Urbano y Vivienda",18528,https://www.dof.gob.mx/nota_detalle.php?codigo=5601047&fecha=23/09/2020,18549,18558,SSPC/SPPPCCP/CNPC/DGGR/03761/2020; SSPC/SPPPCCP/CNPC/DGGR/03731/2020,sin dato,2021
45,Durango,2020,Inundación fluvial del 11 al 15 de septiembre de 2020,Hidrometeorológico,CONAGUA,B00.8.-359,"Canatlán, Coneto de Comonfort, Durango, Mapími, Nazas, El Oro, Rodeo y Nuevo Ideal",8,21/09/2020,"Carretero, Hidráulico, Vial Urbano y Vivienda",18530,https://www.dof.gob.mx/nota_detalle.php?codigo=5601265&fecha=25/09/2020,18551,18562,SSPC/SPPPCCP/CNPC/DGGR/03782/2020; SSPC/SPPPCCP/CNPC/DGGR/03762/2020; SSPC/SPPPCCP/CNPC/DGGR/04119/2020;,sin dato,2021
46,Oaxaca,2020,Movimiento de ladera del 18 al 21 de septiembre de 2020,Geológico,CENAPRED,E00-DG/0907/2020,"Eloxochitlán de Flores Magón, Ixtlán de Juárez, San José Independencia, San Juan Petlapa, San Miguel Coatlán, Santa Catarina Juquila, Santiago Camotlán, Santiago Zacatepec, y Totontepec Villa de Morelos",9,29/09/2020,"Carretero, Educativo, Vial Urbano y Vivienda",18540,https://www.dof.gob.mx/nota_detalle.php?codigo=5601831&fecha=05/10/2020,18561,18570,SSPC/SPPPCCP/CNPC/DGGR/03784/2020; SSPC/CNPC/DGGR/00123/2021; SSPC/SPPPCCP/CNPC/DGGR/03826/2020,sin dato,2021
47,Oaxaca,2020,Inundación fluvial del 18 al 20 de septiembre de 2020,Hidrometeorológico,CONAGUA,B00.8.-368,"San Juan Comaltepec, San Juan Lalana, Santiago Choápam, Santiago Jocotepec y Santiago Juxtlahuaca",5,29/09/2020,"Carretero, Educativo, Vial Urbano y Vivienda",18540,https://www.dof.gob.mx/nota_detalle.php?codigo=5601830&fecha=05/10/2020,18561,18570,SSPC/SPPPCCP/CNPC/DGGR/03781/2020; SSPC/SPPPCCP/CNPC/DGGR/03830/2020; SSPC/SPPPCCP/CNPC/DGGR/03825/2020,sin dato,2021
48,Veracruz,2020,Movimiento de ladera del 29 al 30 de septiembre de 2020,Geológico,CENAPRED,E00-DG/0940/2020,Chiconquiaco,1,07/10/2020,"Carretero, Vial Urbano y Vivienda",18548,https://www.dof.gob.mx/nota_detalle.php?codigo=5602407&fecha=13/10/2020,18569,18578,SSPC/SPPPCCP/CNPC/DGGR/03860/2020; SSPC/SPPPCCP/CNPC/DGGR/03050/2020,sin dato,2021
49,Quintana Roo,2020,Huracán Delta (lluvia severa y vientos fuertes) los días 5 y 6 de octubre de 2020,Hidrometeorológico,CONAGUA,B00.8.-386,"Cozumel, Puerto Morelos, Solidaridad, Benito Juárez, Isla Mujeres y Lázaro Cárdenas",6,12/10/2020,"Deportivo, Educativo, Naval, Salud, Turístico, Vial Urbano y Vivienda",18551,https://www.dof.gob.mx/nota_detalle.php?codigo=5602947&fecha=16/10/2020,18572,18584,SSPC/SPPPCCP/CNPC/DGGR/03879/2020; SSPC/SPPPCCP/CNPC/DGGR/03949/2020; SSPC/CNPC/DGGR/00484/2021;,sin dato,2021
50,Chiapas,2020,"Lluvia severa, inundación pluvial e inundación fluvial del 1 al 3 de octubre de 2020",Hidrometeorológico,CONAGUA,B00.8.-387,"Ocotepec, Tecpatán, Ixtapangajoya, Chamula, Juárez, Salto de Agua, Zinacantán, Ostuacán, Pichucalco, Larráinzar y Ocosingo",11,12/10/2020,"Carretero, Carretero Rural, Hidráulico, Vial Urbano y Vivienda",18551,https://www.dof.gob.mx/nota_detalle.php?codigo=5602945&fecha=16/10/2020,18572,18584,SSPC/CNPC/DGGR/00335/2021; SSPC/CNPC/DGGR/00332/2021; SSPC/SPPPCCP/CNPC/DGGR/03983/2020; SSPC/SPPPCCP/CNPC/DGGR/03948/2020; SSPC/CNPC/DGGR/00336/2021; SSPC/SPPPCCP/CNPC/DGGR/04216/2020,sin dato,2021
