no,entidad_federativa,anio,evento,tipo_fenomeno,instancia_corroboradora,documento_corroboracion,nombre_municipios_corroborados,numero_municipios_corroborados,instalacion_ced,sectores_afectados,fecha_publicacion_dof,publicacion_dof,entrega_resultados_ced,limite_para_entregar_diagnostico,oficio_entrega,observaciones,ultima_fecha_actualizacion
51,Chiapas,2020,Movimiento de ladera del 1 al 4 de octubre de 2020,Geológico,CENAPRED,E00-DG/0958/2020,"Amatán, Amatenango de la Frontera, Angel Albino Corzo, Bella Vista, El Bosque, Copainalá, Chapultenango, Chilón, Francisco León, Huitiupán, Ixhuatán, Jitotol, Pichucalco, Solosuchiapa, Tapalapa, Tapilula, Tila, Villa Corzo y Santiago el Pinar",19,12/10/2020,"Carretero, Carretero Rural, Educativo, Hidráulico, Vial Urbano y Vivienda",18551,https://www.dof.gob.mx/nota_detalle.php?codigo=5602946&fecha=16/10/2020,18572,18584,SSPC/SPPPCCP/CNPC/DGGR/03880/2020; SSPC/SPPPCCP/CNPC/DGGR/03984/2020; SSPC/CNPC/DGGR/00333/2021; SSPC/CNPC/DGGR/00334/2021; SSPC/SPPPCCP/CNPC/DGGR/04009/2020; SSPC/SPPPCCP/CNPC/DGGR/03946/2020,sin dato,2021
52,Yucatán,2020,"Lluvia severa, Huracán """"Delta"""" Categoría 2 e inundación pluvial del 1 al 8 de octubre de 2020",Hidrometeorológico,CONAGUA,B00.8.-397,"Baca, Buctzotz, Calotmul, Celestún, Cenotillo, Chemax, Chichimilá, Cuncunul, Dzidzantún, Dzitás, Espita, Hunucmá, Izamal, Kanasín, Kaua, lxil, Mérida, Mocochá, Panabá, Progreso, Río Lagartos, San Felipe, Sanahcat, Sinanché, Sucilá, Telchac Puerto, Temax, Temozón, Tepakán, Tinum, Tixkokob, Tixpéhual, Tizimín, Tunkás, Uayma, Ucú, Valladolid y Yobaín",38,20/10/2020,"Carretero, Educativo, Naval, Pesquero y Acuícola, Vial Urbano y Vivienda",18561,https://www.dof.gob.mx/nota_detalle.php?codigo=5603508&fecha=26/10/2020,18583,18592,SSPC/SPPPCCP/CNPC/DGGR/04047/2020; SSPC/SPPPCCP/CNPC/DGGR/03985/2020; SSPC/SPPPCCP/CNPC/DGGR/04076/2020; SSPC/SPPPCCP/CNPC/DGGR/04014/2020,sin dato,2021
53,Quintana Roo,2020,Lluvia severa el 26 de octubre de 2020,Hidrometeorológico,CONAGUA,B00.8.-410,"Cozumel, Puerto Morelos, Solidaridad y Tulum",4,30/10/2020,"Deportivo, Educativo, Naval, Vial Urbano y Vivienda",18571,https://www.dof.gob.mx/nota_detalle.php?codigo=5604288&fecha=05/11/2020,18593,18604,SSPC/SPPPCCP/CNPC/DGGR/04099/2020; SSPC/SPPPCCP/CNPC/DGGR/04081/2020; SSPC/SPPPCCP/CNPC/DGGR/04158/2020,sin dato,2021
54,Tabasco,2020,Inundación fluvial e inundación pluvial el 29 de octubre de 2020,Hidrometeorológico,CONAGUA,B00.8.-414,"Cárdenas, Centro, Comalcalco, Cunduacán, Jalapa, Jalapa de Méndez, Macuspana, y Nacajuca",8,03/11/2020,"Carretero, Educativo, Hidráulico, Vial Urbano y Vivienda",18575,https://www.dof.gob.mx/nota_detalle.php?codigo=5604485&fecha=09/11/2020,18597,18606,SSPC/SPPPCCP/CNPC/DGGR/04097/2020; SSPC/SPPPCCP/CNPC/DGGR/04152/2020; SSPC/SPPPCCP/CNPC/DGGR/04116/2020,sin dato,2021
55,Chiapas,2020,Lluvia severa el 29 de octubre de 2020,Hidrometeorológico,CONAGUA,B00.8.-418,Reforma,1,05/11/2020,"Carretero, Hidráulico, Vial Urbano y Vivienda",18577,https://www.dof.gob.mx/nota_detalle.php?codigo=5604708&fecha=11/11/2020,18599,18610,SSPC/CNPC/1669/2020; SSPC/SPPPCCP/CNPC/DGGR/04157/2020,sin dato,2021
56,Chiapas,2020,Movimiento de ladera del 29 al 30 de octubre de 2020,Geológico,CENAPRED,E00-DG/1066/2020,"Amatán, Ixtapangajoya, Juárez, Pantelhó, Pantepec, Pichucalco, Sabanilla, Simojovel, Sitalá y San Andrés Duraznal",10,05/11/2020,"Carretero, Carretero Rural, Educativo, Hidráulico,Salud, Vial Urbano y Vivienda",18577,https://www.dof.gob.mx/nota_detalle.php?codigo=5604709&fecha=11/11/2020,18599,18610,SSPC/SPPPCCP/CNPC/DGGR/04159/2020; SSPC/SPPPCCP/CNPC/DGGR/04164/2020; SSPC/SPPPCCP/CNPC/DGGR/04121/2020,sin dato,2021
57,Veracruz,2020,"Lluvia severa, inundación fluvial y pluvial del 30 de octubre al 1 de noviembre de 2020",Hidrometeorológico,CONAGUA,B00.8.-423,Las Choapas y Moloacán,2,06/11/2020,"Carretero, Educativo, Hidráulico, Vial Urbano y Vivienda",18578,https://www.dof.gob.mx/nota_detalle.php?codigo=5604807&fecha=12/11/2020,18600,18611,SSPC/SPPPCCP/CNPC/DGGR/04117/2020; SSPC/SPPCCP/CNPC/DGGR/04153/2020; SSPC/CNPC/1662/2020; SSPC/SPPPCCP/CNPC/DGGR/04165/2020,sin dato,2021
58,Chiapas,2020,Lluvia severa el 5 y 6 de noviembre de 2020,Hidrometeorológico,CONAGUA,B00.8.-428,"Ocosingo, Ostuacán, Pichucalco, Salto de Agua, Tecpatán, Tila, Tumbalá y Yajalón",8,10/11/2020,"Carretero, Carretero Rural, Educativo, Hidráulico, Vial Urbano y Vivienda",18583,https://www.dof.gob.mx/nota_detalle.php?codigo=5605065&fecha=17/11/2020,18604,18613,SSPC/CNPC/1666/2020; SSPC/SPPPCCP/CNPC/DGGR/04168/2020; SSPC/SPPPCCP/CNPC/DGGR/04212/2020,sin dato,2021
59,Chiapas,2020,Inundación fluvial y pluvial el 5 y 6 de noviembre de 2020,Hidrometeorológico,CONAGUA,B00.8.-434,"Cintalapa, Coapilla, La Concordia, Chamula, Jiquipilas, Ocotepec, El Porvenir, Pueblo Nuevo Solistahuacán, Copainalá, Francisco León, Huitiupán, Ixtahuatán, Juárez, Oxchuc, Palenque, San Cristóbal de las Casas, Solosuchiapa, Mezcalapa y Chilón",19,12/11/2020,"Carretero, Carretero Rural, Educativo, Hidráulico, Salud, Vial Urbano y Vivienda",18585,https://www.dof.gob.mx/nota_detalle.php?codigo=5605307&fecha=19/11/2020,18606,18617,SSPC/SPPPCCP/CNPCC/DGGR/04163/2020; SSPC/SPPPCCP/CNPC/DGGR/04208/2020; SSPC/CNPC/1664/2020,sin dato,2021
60,Chiapas,2020,Movimiento de ladera del 5 al 6 de noviembre de 2020,Geológico,CENAPRED,E00-DG/1092/2020,"Aldama, Amatenango de la Frontera, Bella Vista, Bochil, El Bosque, Chanal, Chapultenango, Ixhuatán, Ixtacomitán, Jitotol, Larráinzar, Mitontic, Ocozocoautla de Espinosa, Rayón, Santiago el Pinar, Rincón Chamula San Pedro, Siltepec, Sunuapa, Tapalapa, Tapilula, Tenejapa",21,13/11/2020,"Carretero, Carretero Rural, Educativo, Hidráulico, Vial Urbano y Vivienda",18586,https://www.dof.gob.mx/nota_detalle.php?codigo=5605451&fecha=20/11/2020,18607,18618,SSPC/SPPPCCP/CNPC/DGGR/04166/2020; SSPC/CNPC/1661/2020; SSPC/SPPPCCP/CNPC/DGGR/04214/2020,sin dato,2021
61,Veracruz,2020,"Inundación fluvial los días 2, 5 y 6 de noviembre de 2020",Hidrometeorológico,CONAGUA,B00.8.-437,Minatitlán y Agua Dulce,2,13/11/2020,"Carretero, Hidráulico, Vial Urbano y Vivienda",18586,https://www.dof.gob.mx/nota_detalle.php?codigo=5605453&fecha=20/11/2020,18607,18618,SSPC/CNPC/1667/2020; SSPC/SPPPCCP/CNPC/DGGR/04213/2020,sin dato,2021
62,Tabasco,2020,Inundación fluvial y pluvial del 2 al 6 de noviembre de 2020,Hidrometeorológico,CONAGUA,B00.8.-436,"Huimanguillo, Tacotalpa y Teapa",3,13/11/2020,"Carretero, Educativo, Hidráulico, Vial Urbano y Vivienda",18586,https://www.dof.gob.mx/nota_detalle.php?codigo=5605452&fecha=20/11/2020,18607,18618,SSPC/SPPPCCP/CNPC/DGGR/04167/2020; SSPC/CNPC/1665/2020; SSPC/SPPPCCP/CNPC/DGGR/04209/2020,sin dato,2021
63,Tabasco,2020,Inundación fluvial el 10 de noviembre de 2020,Hidrometeorológico,CONAGUA,B00.8.-440,"Balancán, Centla, Emiliano Zapata, Jonuta y Tenosique",5,17/11/2020,"Carretero, Educativo, Hidráulico, Naval, Vial Urbano y Vivienda",18589,https://www.dof.gob.mx/nota_detalle.php?codigo=5605505&fecha=23/11/2020,18610,18619,SSPC/SPPPCCP/CNPC/DGGR/04215/2020; SSPC/CNPC/1668/2020,sin dato,2021
64,Chiapas,2020,Movimiento de ladera del 19 al 21 de noviembre de 2020,Geológico,CENAPRED,E00-DG/1147/2020,La Grandeza,1,30/11/2020,"Carretero, Vial Urbano y Vivienda",18600,https://www.dof.gob.mx/nota_detalle.php?codigo=5606771&fecha=04/12/2020,18624,18634,SSPC/CNPC/DGGR/00122/2021,sin dato,2021
65,Veracruz,2020,Inundación pluvial el 21 y 22 de noviembre de 2020,Hidrometeorológico,CONAGUA,B00.8.-455,Santiago Tuxtla,1,30/11/2020,"Carretero, Hidráulico, Vial Urbano y Vivienda",18600,https://www.dof.gob.mx/nota_detalle.php?codigo=5606772&fecha=04/12/2020,18624,18634,SSPC/CNPC/DGGR/00126/2021; SSPC/CNPC/DGGR/00034/2021,sin dato,2021
66,Chiapas,2020,Inundación fluvial el 19 de noviembre de 2020,Hidrometeorológico,CONAGUA,B00.8.-456,Catazajá,1,01/12/2020,"Carretero, Carretero Rural, Educativo, Hidráulico, Vial Urbano y Vivienda",18603,https://www.dof.gob.mx/nota_detalle.php?codigo=5606869&fecha=07/12/2020,18625,18635,SSPC/CNPC/DGGR/0010/2021; SSPC/CNPC/DGGR/00056/2021; SSPC/CNPC/DGGR/00119/2021;,sin dato,2021
67,Chihuahua,2020,Sequía severa del 1 de mayo al 30 de noviembre de 2020,Hidrometeorológico,CONAGUA,B00.8.-469,"Ahumada, Aldama, Ascensión, Bachíniva, Belleza, Batopilas, Bocoyna, Buenaventura, Carichí, Casas Grandes, La Cruz, Cuauhtémoc, Cusihuarachi, Chihuahua, Chínipas, Delicias, Doctor Belisario Domínguez, Galeana, Santa Isabel, Guachochi, Guadalupe, Guadalupe y Calvo, Guazapares, Guerrero, Huejotitán, Ignacio Zaragoza, Juárez, Maguarichi, Matachí, Meoqui, Morelos, Mori, Namiquiepa, Nonoava, Nuevo Casas Grandes, Ocampo, Praxedis G, Guerrero, Riva Palacio, Rosales, Rosario, San Francisco de Borja, San Francisco de Conchos, Satevó, Saucillo, Temósachic, El Tule, Urique y Uruachi",48,18/12/2020,Hidráulico,18620,https://www.dof.gob.mx/nota_detalle.php?codigo=5608668&fecha=24/12/2020,18645,18654,SSPC/CNPC/DGGR/00233/2021,sin dato,2021
68,Baja California Sur,2020,Sequía severa del 1 de mayo al 30 de noviembre de 2020,Hidrometeorológico,CONAGUA,B00.8.-472,Comundú y Loreto,2,18/12/2020,Hidráulico,18620,https://www.dof.gob.mx/nota_detalle.php?codigo=5608667&fecha=24/12/2020,18645,18654,sin dato,Este sector no presentó Diagnóstico de Obras y Acciones.,2021
69,Durango,2020,Sequía severa del 1 de mayo al 30 de noviembre de 2020,Hidrometeorológico,CONAGUA,B00.8.-471,"Guanaceví, Lerdo, Mapimí y San Pedro del Gallo",4,18/12/2020,Hidráulico,18620,https://www.dof.gob.mx/nota_detalle.php?codigo=5608669&fecha=24/12/2020,18645,18654,SSPC/CNPC/DGGR/00270/2021,sin dato,2021
70,Sinaloa,2020,Sequía severa del 1 de mayo al 30 de noviembre de 2020,Hidrometeorológico,CONAGUA,B00.8.-468,"Angostura, Badiraguato, Culiacán, Elota, Escuinapa, El Fuerte, Guasave, Mazatlán, Mocorito, Rosario, Salvador Alvarado, San Igancio, Sinaloa y Navolato",14,18/12/2020,Hidráulico,18620,https://www.dof.gob.mx/nota_detalle.php?codigo=5608670&fecha=24/12/2020,18645,18654,SSPC/CNPC/DGGR/00281/2021,sin dato,2021
71,Sonora,2020,Sequía severa del 1 de mayo al 30 de noviembre de 2020,Hidrometeorológico,CONAGUA,B00.8.-467,"Aconchi, Alamos, Altar, Arivechi, Arizpe, Atil, Bacoachi, Bácum, Banámichi, Baviácora, Caborca, Cajeme, Corbó, La Colorada, Cumpas, Empalme, Etchojoa, Guaymas, Hermosillo, Huépac, Mazatán, Moctezuma, Nácori Chico, Nacozari de García, Navojoa, Onovas, Opodepe, Oquitoa, Pitiquito, Quiriego, Rayón, Sahuaripa, San Felipe de Jesús, San Miguel de Horcasitas, San Pedro de la Cueva, Santa Ana, Suaqui Grande, Tubutama, Ures, Villa Pesqueira, General Plutarco Elías Calles, Benito Juárez y San Ignacio Rio Muerto",43,18/12/2020,Hidráulico,18620,https://www.dof.gob.mx/nota_detalle.php?codigo=5608671&fecha=24/12/2020,18645,18654,SSPC/CNPC/DGGR/00269/2021,sin dato,2021
72,Nuevo León,2021,Incendio Forestal del 13 de marzo al 5 de abril de 2021,Incendio Forestal,CONAFOR,DG-218/2021,"Linares, Montemorelos y Santiago",3,13/04/2021,Forestal y de Viveros,18736,https://dof.gob.mx/nota_detalle.php?codigo=5616189&fecha=19/04/2021,18757,18766,sin dato,"Esta Dirección General remitió una solicitud no procendete a la CONAFOR, debido a que las acciones no se apegaba a la normatividad aplicable.",2022
73,Oaxaca,2021,Lluvia y granizada severas el 17 de mayo de 2021,Hidrometeorológico,CONAGUA,B00.8.-128,San Pedro Totolápam y Magdalena Yodoconode Porfirio Díaz,2,24/05/2021,"Carretero, Educativo, Hidráulico y Vivienda",18775,https://dof.gob.mx/nota_detalle.php?codigo=5619633&fecha=28/05/2021,18796,18807,SSPC/SPPPCCP/CNPC/DGGR/01257/2021; SSPC/SPPPCCP/CNPC/DGGR/01236/2021,sin dato,2022
74,Oaxaca,2021,"Lluvia severa, inundación fluvial y pluvial el 15 y 16 de junio de 2021",Hidrometeorológico,CONAGUA,B00.8.-154,"Guevea de Humboldt, Juchitán de Zaragoza, San Juan Cotzocón, San Pedro Comitancillo, Santa María Guienagati, Santa María Xadani, y Asunción Ixtaltepec",7,24/06/2021,"Carretero, Hidráulico y Vivienda",18808,https://dof.gob.mx/nota_detalle.php?codigo=5622567&fecha=30/06/2021,18829,18838,SSPC/SPPPCCP/CNPC/DGGR/01441/2021; SSPC/SPPPCCP/CNPC/DGGR/01403/2021,sin dato,2022
75,Chiapas,2021,Lluvia Severa el 25 de junio de 2021,Hidrometeorológico,CONAGUA,B00.8.-161,Huixtla,1,30/06/2021,"Carretero, Carretero Rural, Hidráulico y Vial Urbano",18814,https://dof.gob.mx/nota_detalle.php?codigo=5622985&fecha=06/07/2021,18821,18830,SSPC/SPPPCCP/CNPC/DGGR/01385/2021; SSPC_SPPPCCP/CNPC/DGGR/01366/2021; SSPC/SPPPCCP/CNPC/DGGR/01400/2021,sin dato,2022
76,Oaxaca,2021,Movimiento de ladera del 6 al 7 de julio de 2021,Geológico,CENAPRED,SSPC/CENAPRED/DG/00443/2021,San Lorenzo Texmelúcan,1,14/07/2021,Carretero y Vivienda,18828,https://dof.gob.mx/nota_detalle.php?codigo=5624311&fecha=20/07/2021,18835,18844,SSPC/SPPPCCP/CNPC/DGGR/01491/2021; SSPC/SPPPCCP/CNPC/DGGR/01465/2021,sin dato,2022
77,Tamaulipas,2021,Lluvia severa e inundación pluvial el 8 y el 9 de julio de 2021,Hidrometeorológico,CONAGUA,B00.8.-180,Matamoros,1,15/07/2021,"Hidráulico, Naval, Vial Urbano y Vivienda",18829,https://dof.gob.mx/nota_detalle.php?codigo=5624451&fecha=21/07/2021,18850,18859,SSPC/SPPPCCP/CNPC/DGGR/02054/2021; SSPC/SPPPCCP/CNPC/DGGR/01576/2021; SSPC/SPPPCCP/CNPC/DGGR/02052/2021; SSPC/SPPPCCP/CNPC/DGGR/01507/2021,sin dato,2022
78,Puebla,2021,"Huracán """"Grace"""" categoría 2 (lluvia severa) el 21 de agosto de 2021",Hidrometeorológico,CONAGUA,B00.8.-208,"Ahuacatlán, Ahuazotepec, Amixtlán, Aquixtla, Ayotoxco de Guerrero, Camocuautla, Caxhuacan, Chiconcuautla, Chignahuapan, Honey, Coatepec, Cuautempan, Cuetzalan del Progreso, Cuyoaco, Hermenegildo Galeana, Huauchinango, Huehuetla, Hueyapan, Hueytamalco, Huitzilan de Serdán, Atlequizayan, lxtacamaxtitlán, lxtepec, Jalpan, Jonotla, Jopala, Juan Galindo, Naupan, Nauzontla, Olintla, Pahuatlán, Pantepec, San Felipe Tepatlán, Tenampulco, Tepango de Rodríguez, Tepetzintla, Tetela de Ocampo, Tlacuilotepec, Tlaola, Tlapacoya, Tlatlauquitepec, Tuzamapan de Galeana, Venustiano Carranza, Xicotepec, Xiutetelco, Xochiapulco, Xochitlán de Vicente Suárez, Yaonáhuac, Zacapoaxtla, Zacatlán, Zapotitlán de Méndez, Zautla, Zongozotla y Zoquiapan.",54,30/08/2021,"Carretero, Educativo, Hidráulico y Salud",18876,https://dof.gob.mx/nota_detalle.php?codigo=5628891&fecha=06/09/2021,18912,18928,SSPC/SPPPCCP/CNPC/DGGR/02366/2021; SSPC/SPPPCCP/CNPC/DGGR/02329/2021; SSPC/SPPPCCP/CNPC/DGGR/02451/2021,sin dato,2022
79,Hidalgo,2021,"Lluvia Severa, vientos fuertes e inundación pluvial y fluvial el 21 y 22 de agosto de 2021",Hidrometeorológico,CONAGUA,B00.8.-209,"Acaxochitlán, Agua Blanca de Iturbide, Atlapexco, Calnali, Cuautepec de Hinojosa, Chapulhuacán, Eloxochitlán, Huautla, Huazalingo, Huehuetla, Huejutla de Reyes, Lolotla, Metztitlán, La Misión, Molango de Escamilla, San Felipe Orizatlán, Pisaflores, Mineral de la Reforma, San Bartolo Tutotepec, Tenango de Doria, Tepehuacán de Guerrero, Tianguistengo, Tlanchinol, Tulancingo de Bravo, Xochiatipan, Xochicoatlán, Yahualica y Zacualtipán de Ángeles",27,30/08/2021,"Carretero, Educativo, Hidráulico y Salud",18876,https://dof.gob.mx/nota_detalle.php?codigo=5628890&fecha=06/09/2021,18899,18915,SSPC/SPPPCCP/CNPC/DGGR/02233/2021; SSPC/SPPPCCP/CNPC/DGGR/02458/2021,sin dato,2022
80,Veracruz,2021,"Huracán """"Grace"""" (lluvia severa), inundación pluvial y fluvial del 20 al 24 deagosto del 2021",Hidrometeorológico,CONAGUA,B00.8.02.-029,"Actopan, Alto Lucero de Gutiérrez Barrios, Banderilla, Cazones de Herrera, Cerro Azul, Coacoatzintla, Coahuitlán, Coatepec, Coxquihui, Coyutla, Chalma, Chiconquiaco, Chicontepec, Chumatlán, Espinal, Filomeno Mata, Huayacocotla, Ilamatlán, Ixhuatlán de, Madero, Xalapa, Jilotepec, Mecatlán, Miahuatlán, Misantla, Naolinco, Nautla, Platón Sánchez, Poza Rica de Hidalgo, Tantoyuca, Castillo de Teayo, Álamo Temapache, Tempoal, Tenochtitlán, Texcatepec, Tlachichilco, Tonayán, Tuxpan, Vega de Alatorre, Zacualpan, Zongolica, Zontecomatlán de López y Fuentes, Zozocolco de Hidalgo, San Rafael",43,02/09/2021,"Carretero, Educativo, Forestal y de Viveros, Hidráulico, Naval, Vial Urbano y Vivienda",18879,https://dof.gob.mx/nota_detalle.php?codigo=5629266&fecha=09/09/2021,18915,18933,SSPC/SPPPCCP/CNPC/DGGR/02356/2021; SSPC/SPPPCCP/CNPC/DGGR/02657/2021; SSPC/SPPPCCP/CNPC/DGGR/02497/2021,sin dato,2022
81,Veracruz,2021,Movimiento de ladera del 20 al 24 de agosto del 2021,Geológico,CENAPRED,SSPC/CENAPRED/DG/00746/2021,"Huayacocotla, Jilotepec, Miahuatlán, Texcatepec, Tlilapany Zontecomatlán de López y Fuentes",6,02/09/2021,Forestal y de Viveros,18879,https://dof.gob.mx/nota_detalle.php?codigo=5629265&fecha=09/09/2021,18915,18933,sin dato,"Esta Dirección General remitió una solicitud no procendete a la CONAFOR, debido a que las acciones no se apegaba a la normatividad aplicable",2022
82,Sinaloa,2021,Huracán “Nora” Categoría 1(Lluvia severa y vientos fuertes) del 28 y al 30 de agosto del 2021,Hidrometeorológico,CONAGUA,B00.8.02.-031,"Concordia, Culiacán, Elota, Escuinapa, Mazatlán, Rosario y San Ignacio",7,06/09/2021,"Carretero, Cultura, Educativo, Hidráulico, Naval y Pesquero y Acuícola",18883,https://dof.gob.mx/nota_detalle.php?codigo=5629548&fecha=13/09/2021,18919,18935,SSPC/SPPPCCP/CNPC/DGGR/02389/2021; SSPC/SPPPCCP/CNPC/DGGR/02404/2021; SSPC/SPPPCCP/CNPC/DGGR/02659/2021,sin dato,2022
83,Michoacán,2021,"Huracán """"Nora"""" Categoría 1 (lluvia severa ), inundación pluvial y fluvial del 27 al 29 de agosto del 2021",Hidrometeorológico,CONAGUA,B00.8.02.-032,"Arteaga, Lázaro Cárdenas, Tumbiscatío, La Huacana",4,06/09/2021,"Carretero, Educativo, Hidráulico y Naval",18883,https://dof.gob.mx/nota_detalle.php?codigo=5629547&fecha=13/09/2021,18919,18935,SSPC/SPPPCCP/CNPC/DGGR/02367/2021; SSPC/SPPPCCP/CNPC/DGGR/02499/2021; SSPC/SPPPCCP/CNPC/DGGR/02406/2021; SSPC/SPPPCCP/CNPC/DGGR/02666/2021; SSPC/SPPPCCP/CNPC/DGGR/02590/2021,sin dato,2022
84,Colima,2021,"Huracán (lluvia severa), inundación fluvial y pluvial el 28 y el 29 de agosto de 2021",Hidrometeorológico,CONAGUA,B00.8.02.-218,"Armería, Cómala, Coquimatlán, Manzanillo, Minatitlán, Tecomán y Villa de Álvarez",7,08/09/2021,"Carretero, Educativo, Hidráulico, Naval y Zonas Costeras",18885,https://dof.gob.mx/nota_detalle.php?codigo=5629989&fecha=15/09/2021,18921,18939,SSPC/SPPPCCP/CNPC/DGGR/02414/2021; SSPC/SPPPCCP/CNPC/DGGR/00009/2022; SSPC/SPPPCCP/CNPC/DGGR/02608/2021,sin dato,2022
85,Jalisco,2021,"Huracán (Lluvia severa), inundación fluvial y vientos fuertes el 28 y 29 de agosto de 2021",Hidrometeorológico,CONAGUA,B00.8.02.-033,"Puerto Vallarta, Cabo Corrientes, Tomatlán, La Huerta, Cihuatlán, Talpa de Allende, Autlán de Navarro, Casimiro Castillo, El Grullo, Cuautitlán de García Barragán, Mascota, San Gabriel, Santa María del Oro, Atoyac, Atenguillo, Villa Purificación, Mixtlán, Zapotlán el Grande, El limón y Ejutla",20,09/09/2021,"Carretero, Educativo, Hidráulico, Naval y Pesquero y Acuícola",18887,https://dof.gob.mx/nota_detalle.php?codigo=5630085&fecha=17/09/2021,18922,18940,SSPC/SPPPCCP/CNPC/DGGR/02424/2021; SSPC/SPPPCCP/CNPC/DGGR/02664/2021,sin dato,2022
86,Nayarit,2021,"Huracán """"Nora"""" Categoría 1 (lluvia severa) e inundación fluvial del 28 al 30 de agosto de 2021",Hidrometeorológico,CONAGUA,B00.8.-221,"San Blas, Huajicori, Rosamorada, Santiago Ixcuintla, Acaponeta, Tecuala y Tuxpan",7,10/09/2021,"Carretero, Hidráulico, Naval, Pesquero y Acuícola y Salud",18890,https://dof.gob.mx/nota_detalle.php?codigo=5630208&fecha=20/09/2021,18925,18941,SSPC/SPPPCCP/CNPC/DGGR/02457/2021; SSPC/SPPPPCCP/CNPC/DGGR/02622/2021; SSPC/SPPPCP/CNPC/DGGR/02643/2021,sin dato,2022
87,Guerrero,2021,Sismo con magnitud 7.1 el 7 de septiembre de 2021,Geológico,CENAPRED,SSPC/CENAPRED/DG/00797/2021,"Acapulco de Juárez, Acatepec, Atoyac de Álvarez, Ayutla de los Libres, Chilapa de Álvarez, Chilpancingo de los Bravo, Coyuca de Benítez, Eduardo Neri, José Joaquín de Herrera, Juan R. Escudero, Mártir de Cuilapan, Mochitlán, San Marcos, Tecoanapa, Tixtla de Guerrero, y Tlacoapa",16,14/09/2021,"Carretero, Educativo, Monumentos Arqueológicos y Naval",18892,https://dof.gob.mx/nota_detalle.php?codigo=5630547&fecha=22/09/2021,18920,18936,SSPC/SPPPCCP/CNPC/DGGR/02388/2021; SSPC/SPPPCCP/CNPC/DGGR/02405/2021; SSPC/SPPPCCP/CNPC/DGGR/02402/2021,sin dato,2022
88,Hidalgo,2021,Inundación fluvial y lluvia severa del 6 al 8 de septiembre de 2021,Hidrometeorológico,CONAGUA,B00.8.02.-035,"Chilcuautla, Ixmiquilpan, Mixquiahuala de Juárez, Tasquillo, Tepeji del Río de Ocampo, Tezontepec de Aldama, Tlahuelilpan, Tlaxcoapan y Tula de Allende",9,15/09/2021,"Carretero, Cultura, Educativo, Hidráulico y Salud",18893,https://dof.gob.mx/nota_detalle.php?codigo=5630649&fecha=23/09/2021,18928,18947,SSPC/SPPPCCP/CNPC/DGGR/02455/2021,sin dato,2022
89,Baja California Sur,2021,"Inundación pluvial, lluvia severa y vientos fuertes el 9 y 10 de septiembre de 2021",Hidrometeorológico,CONAGUA,B00.8.-235,La Paz y Los Cabos,2,20/09/2021,"Carretero, Deportivo, Educativo, Hidráulico, Naval y Turístico",18897,https://dof.gob.mx/nota_detalle.php?codigo=5630911&fecha=27/09/2021,18932,18949,SSPC/SPPPCCP/CNPC/DGGR/02459/2021; SSPC/SPPPCCP/CNPC/DGGR/02609/2021,sin dato,2022
90,Zacatecas,2021,Inundación fluvial el 16 y 17 de septiembre de 2021,Hidrometeorológico,CONAGUA,B00.8.02.-038,Cuauhtémoc y Genaro Codina,2,21/09/2021,"Hidráulico, Vial Urbano y Vivienda",18901,https://dof.gob.mx/nota_detalle.php?codigo=5631473&fecha=01/10/2021,18936,18954,SSPC/SPPPCCP/CNPC/DGGR/02498/2021,sin dato,2022
91,Nayarit,2021,Lluvia severa e inundación fluvial del 13 al 15 de octubre de 2021,Hidrometeorológico,CONAGUA,B00.8.02-044,"Acaponeta, Tecuala, Huajicori, Tuxpan, Rosamorada, Ruíz y Santiago Ixcuintla",7,21/10/2021,"Carretero, Deportivo, Educativo, Hidráulico, Pesquero y Acuícola, Vial Urbano y Vivienda",18928,https://dof.gob.mx/nota_detalle.php?codigo=5633945&fecha=28/10/2021,18964,18982,SSPC/SPPPCP/CNPC/DGGR/02644/2021; SSPC/SPPPCP/CNPC/DGGR/02658/2021,sin dato,2022
92,Guerrero,2021,"Lluvia severa, vientos fuertes, inundación fluvial e inundación pluvial del24 al 25 de octubre de 2021",Hidrometeorológico,CONAGUA,B00.8.02.-047,"Benito Juárez, Coahuayutla de José María Izazaga, La Unión de Isidoro Montes de Oca, Petatlán, Técpan de Galeana y Zihuatanejo de Azueta",6,02/11/2021,"Carretero, Educativo, Naval y Turístico",18940,https://dof.gob.mx/nota_detalle.php?codigo=5634791&fecha=09/11/2021,18974,18990,SSPC/SPPPCCP/CNPC/DGGR/02640/2021; SSPC/SPPPCCP/CNPC/DGGR/02665/2021; SSPC/SPPPCCP/CNPC/DGGR/02672/2021,sin dato,2022
93,Guanajuato,2021,Inundación fluvial del 5 de septiembre al 28 de octubre de 2021,Hidrometeorológico,CONAGUA,B00.8.02.-049,Abasolo,1,02/11/2021,"Carretero, Educativo, Hidráulico, Vial Urbano y Vivienda",18940,https://dof.gob.mx/nota_detalle.php?codigo=5634790&fecha=09/11/2021,18976,18992,SSPC/SPPPCCP/CNPC/DGGR/02656/2021; SSPC/SPPPCCP/CNPC/DGGR/02671/2021; SSPC/SPPPCCP/CNPC/DGGR/02642/2021,sin dato,2022
